ER;Metabolite;Rep;Tissue
0.232516436089294;C58:10 TAG;3;Brain
0.25078967528452;C58:6 TAG;3;Brain
0.120743290538062;C58:8 TAG;3;Brain
0.165277665248482;C58:9 TAG;3;Brain
0.192785347929994;C6 carnitine;3;Brain
0.102921113677458;C60:12 TAG;3;Brain
0.230354730250503;CMP;3;Brain
0.0601712383754526;DHAP/glyceraldehyde 3P;3;Brain
0.343197491584967;GABA;3;Brain
0.25565678526709;GDP;3;Brain
0.453640887393489;GMP;3;Brain
0.60647793005099;IMP;3;Brain
1.10369004258448;N-carbamoyl-beta-alanine;3;Brain
0.443024126972745;N-monomethylarginine;3;Brain
0.597542229623601;NAD;3;Brain
0.676144425109108;NADP;3;Brain
0.781036251327151;UDP-galactose/UDP-glucose;3;Brain
0.260177381489286;UDP-glucuronate;3;Brain
0.288705235204803;UMP;3;Brain
0.174202972183481;aconitate;3;Brain
1.02324946773992;adenine;3;Brain
0.628323830396639;adenosine;3;Brain
0.0984073743985975;adipate;3;Brain
0.0864461664429417;alanine;3;Brain
0.41873258632339;allantoin;3;Brain
0.13253643672459;alpha-glycerophosphate;3;Brain
0.876893646138663;alpha-glycerophosphocholine;3;Brain
0.273225926056164;alpha-hydroxybutyrate;3;Brain
0.367365221817969;anthranilic acid;3;Brain
0.0601998614540046;arginine;3;Brain
0.597880151375155;asparagine;3;Brain
0.23478099560405;aspartate;3;Brain
0.131704429800887;asymmetric dimethylarginine / symmetric dimethylarginine;3;Brain
0.130196728434125;beta-hydroxybutyrate;3;Brain
0.288962296223298;betaine;3;Brain
0.269436318614225;butyrobetaine;3;Brain
0.141155348509142;cAMP;3;Brain
0.0886731748957641;carnitine;3;Brain
0.0666129951304997;chenodeoxycholate/deoxycholate;3;Brain
0.0171199001668658;choline;3;Brain
0.093433030442919;citrate;3;Brain
0.473256661548944;citrulline;3;Brain
0.119854136460948;cotinine;3;Brain
0.013603712868657;creatine;3;Brain
0.104112426544285;creatinine;3;Brain
1.14450305592846;cystathionine;3;Brain
0.655220297729197;cytidine;3;Brain
0.533414393610397;dCMP;3;Brain
0.102405108804363;dUMP;3;Brain
0.335629305772804;erythrose-4-phosphate;3;Brain
0.143197715130394;fructose/glucose/galactose;3;Brain
0.027374850839391;fumarate/maleate/alpha-ketoisovalerate;3;Brain
0.0926951922110534;gentisate;3;Brain
0.959443128161632;glucuronate;3;Brain
0.0140959213375445;glutamate;3;Brain
0.0311922151080167;glutamine;3;Brain
2.11374007156184;glutathione oxidized;3;Brain
0.778884958405662;glutathione reduced;3;Brain
0.105485437988496;glycerol;3;Brain
0.123312510015092;glycine;3;Brain
0.151531109486964;glycocholate;3;Brain
2.00780717029392;guanine;3;Brain
0.684629678285827;guanosine;3;Brain
1.79434968063338;hexose diphosphate;3;Brain
0.886766050432633;hexose monophosphate;3;Brain
0.843427134134341;histamine;3;Brain
0.143955235675425;histidine;3;Brain
0.106656535826002;hydroxyproline;3;Brain
0.00217291313659942;hypoxanthine;3;Brain
0.0911189477071331;inosine;3;Brain
0.0488710715310094;inositol;3;Brain
0.219612549627759;isocitrate;3;Brain
0.276750198315094;isoleucine;3;Brain
0.37747932545799;kynurenic acid;3;Brain
0.472062815270014;kynurenine;3;Brain
0.0127403727278805;lactate;3;Brain
0.689005687734456;lactose;3;Brain
0.201334482468227;leucine;3;Brain
0.147190947929237;lysine;3;Brain
0.0186156685080937;malate;3;Brain
0.227350389060384;malondialdehyde;3;Brain
0.21093614720707;methionine;3;Brain
0.187330242419725;methionine sulfoxide;3;Brain
0.0138303671339256;niacinamide;3;Brain
0.270110344620797;ornithine;3;Brain
0.245282235784686;orotate;3;Brain
0.0521786459080697;oxalate;3;Brain
0.124253182737888;pantothenate;3;Brain
0.105647193783413;pentose monophosphate;3;Brain
0.137999597787827;phenylalanine;3;Brain
0.446413303933895;phosphocholine;3;Brain
0.446822271937909;phosphocreatine;3;Brain
1.47716413396229;phosphoenolpyruvate;3;Brain
0.409905004929225;phosphoethanolamine;3;Brain
0.55967972194089;pipecolic acid;3;Brain
0.120563520597658;proline;3;Brain
0.0887782211531249;putrescine;3;Brain
0.214761226115252;pyroglutamic acid;3;Brain
0.183812998718261;pyruvate;3;Brain
0.557760672537452;quinolinate;3;Brain
0.074109656669222;serine;3;Brain
0.480081483705274;serotonin;3;Brain
0.180620700085074;sorbitol;3;Brain
0.193206674731334;suberate;3;Brain
0.164405529602091;succinate;3;Brain
2.46097601265038;sucrose;3;Brain
0.112034411476726;taurine;3;Brain
0.864152980233365;taurocholate;3;Brain
0.235267037796147;taurodeoxycholate/taurochenodeoxycholate;3;Brain
0.180404687214521;thiamine;3;Brain
0.136132753485291;threonine;3;Brain
0.189022934839218;thymine;3;Brain
0.118280118275166;trimethylamine-N-oxide;3;Brain
0.0886527773839658;tryptophan;3;Brain
0.173855321109732;tyrosine;3;Brain
